100.00000000 7.95920 12.86958
102.32929923 7.84243 12.67230
104.71285481 7.72731 12.47802
107.15193052 7.61382 12.28670
109.64781961 7.50746 12.09827
112.20184543 7.39705 11.91272
114.81536215 7.29352 11.72186
117.48975549 7.18611 11.54203
120.22644346 7.08023 11.35706
123.02687708 6.98087 11.18278
125.89254118 6.87789 11.01115
128.82495517 6.78119 10.84214
131.82567386 6.68576 10.66829
134.89628826 6.57883 10.49922
138.03842646 6.46572 10.32766
141.25375446 6.35466 10.15896
144.54397707 6.24561 9.98614
147.91083882 6.14290 9.82313
151.35612484 6.03770 9.66284
154.88166189 5.93862 9.49861
158.48931925 5.83713 9.34373
162.18100974 5.73748 9.18503
165.95869074 5.63963 9.03537
169.82436525 5.54751 8.88820
173.78008287 5.45311 8.74348
177.82794100 5.36425 8.60118
181.97008586 5.27317 8.46124
186.20871367 5.18374 8.32363
190.54607180 5.09593 8.18832
194.98445998 5.00970 8.05525
199.52623150 4.92503 7.92440
204.17379447 4.84190 7.79573
208.92961309 4.76026 7.66919
213.79620895 4.68010 7.54477
218.77616239 4.60138 7.42241
223.87211386 4.52409 7.30208
229.08676528 4.44819 7.18376
234.42288153 4.37366 7.06740
239.88329190 4.29860 6.94784
245.47089157 4.22302 6.83003
251.18864315 4.14876 6.70955
257.03957828 4.07581 6.59580
263.02679919 4.00413 6.47947
269.15348039 3.93372 6.36962
275.42287033 3.86453 6.25730
281.83829313 3.79656 6.15124
288.40315031 3.72979 6.04278
295.12092267 3.66418 5.94037
301.99517204 3.59973 5.83565
309.02954325 3.53640 5.73676
316.22776602 3.47419 5.63565
323.59365693 3.41307 5.54016
331.13112148 3.35302 5.44253
338.84415614 3.29403 5.34663
346.73685045 3.23607 5.25606
354.81338923 3.17913 5.16347
363.07805477 3.12319 5.07601
371.53522910 3.06823 4.98661
380.18939632 3.01424 4.90216
389.04514499 2.96119 4.81584
398.10717055 2.90908 4.73105
407.38027780 2.85788 4.65095
416.86938347 2.80758 4.56908
426.57951880 2.75725 4.49183
436.51583224 2.70693 4.41296
446.68359215 2.65752 4.33550
457.08818961 2.60900 4.25941
467.73514129 2.55959 4.18756
478.63009232 2.51286 4.11411
489.77881937 2.46698 4.04198
501.18723363 2.42193 3.97113
512.86138399 2.37771 3.90155
524.80746025 2.33429 3.83583
537.03179637 2.29166 3.76865
549.54087386 2.24980 3.70268
562.34132519 2.20718 3.63788
575.43993734 2.16687 3.57424
588.84365536 2.12728 3.51413
602.55958607 2.08842 3.45269
616.59500186 2.05027 3.39235
630.95734448 2.01281 3.33308
645.65422903 1.97603 3.27487
660.69344801 1.93859 3.21769
676.08297539 1.90317 3.16370
691.83097092 1.86839 3.10851
707.94578438 1.83424 3.05430
724.43596007 1.80072 3.00310
741.31024130 1.76781 2.95077
758.57757503 1.73281 2.90041
776.24711663 1.69817 2.85001
794.32823472 1.66421 2.79863
812.83051616 1.63091 2.75008
831.76377110 1.59827 2.70242
851.13803820 1.56626 2.65383
870.96358996 1.53488 2.60792
891.25093813 1.50411 2.56111
912.01083936 1.47395 2.51689
933.25430080 1.44437 2.47348
954.99258602 1.41538 2.42921
977.23722096 1.38695 2.38739
1000.00000000 1.35908 2.34634
1023.29299228 1.33176 2.30603
1047.12854805 1.30584 2.26493
1071.51930524 1.27956 2.22611
1096.47819614 1.25380 2.18799
1122.01845430 1.22854 2.14913
1148.15362150 1.20458 2.11242
1174.89755494 1.18029 2.07500
1202.26443462 1.15724 2.03964
1230.26877081 1.13388 2.00359
1258.92541179 1.11098 1.96954
1288.24955169 1.08853 1.93611
1318.25673856 1.06652 1.90329
1348.96288259 1.04576 1.87096
1380.38426460 1.02619 1.83789
1412.53754462 1.00699 1.80543
1445.43977075 0.98815 1.77359
1479.10838817 0.96965 1.74235
1513.56124844 0.95089 1.71169
1548.81661891 0.93309 1.68162
1584.89319246 0.91563 1.65210
1621.81009736 0.89849 1.62315
1659.58690744 0.88167 1.59474
1698.24365246 0.86573 1.56687
1737.80082875 0.84953 1.53952
1778.27941004 0.83362 1.51269
1819.70085861 0.81802 1.48636
1862.08713666 0.80271 1.46053
1905.46071796 0.78768 1.43519
1949.84459976 0.77293 1.41034
1995.26231497 0.75895 1.38595
2041.73794467 0.74474 1.36111
2089.29613085 0.73080 1.33766
2137.96208950 0.71758 1.31464
2187.76162395 0.70415 1.29207
2238.72113857 0.69097 1.26908
2290.86765277 0.67846 1.24737
2344.22881532 0.66576 1.22607
2398.83291902 0.65397 1.20486
2454.70891569 0.64305 1.18534
2511.88643151 0.63191 1.16544
2570.39578277 0.62135 1.14595
2630.26799190 0.61098 1.12762
2691.53480393 0.60077 1.10891
2754.22870334 0.59074 1.09059
2818.38293126 0.58088 1.07266
2884.03150313 0.57119 1.05509
2951.20922667 0.56131 1.03790
3019.95172040 0.55195 1.02106
3090.29543251 0.54274 1.00390
3162.27766017 0.53369 0.98778
3235.93656930 0.52479 0.97200
3311.31121483 0.51604 0.95590
3388.44156139 0.50744 0.94080
3467.36850453 0.49899 0.92538
3548.13389234 0.49067 0.91031
3630.78054770 0.48250 0.89617
3715.35229097 0.47447 0.88174
3801.89396321 0.46658 0.86763
3890.45144994 0.45882 0.85383
3981.07170553 0.45119 0.84033
4073.80277804 0.44369 0.82714
4168.69383470 0.43632 0.81368
4265.79518802 0.42949 0.80183
4365.15832240 0.42366 0.79043
4466.83592151 0.41791 0.77931
4570.88189615 0.41224 0.76901
4677.35141287 0.40642 0.75843
4786.30092323 0.40090 0.74813
4897.78819368 0.39547 0.73809
